C,C/K,D,S,S/K,k,r,sigma,t
2.39,0.0021,0.022,1116.31,0.9824,1136.31,0.0141,0.02466,1.1697
0.0,0.0,0.022,944.73,0.92193,1024.73,0.0285,0.0188,0.1687
36.96,0.03581,0.024,1072.06,1.03876,1032.06,0.0181,0.03723,2.0927
79.95,0.10617,0.02,833.06,1.10623,753.06,0.0213,0.10888,0.1073
0.43,0.0005,0.021,806.98,0.93079,866.98,0.0218,0.07102,0.3033
15.93,0.019,0.022,838.54,1.0,838.54,0.0205,0.13282,0.1306
0.0,0.0,0.02,837.37,0.91279,917.37,0.0221,0.01547,0.1662
61.17,0.07995,0.028,825.07,1.07842,765.07,0.0175,0.14568,0.1868
55.4,0.05113,0.022,1143.57,1.05537,1083.57,0.0127,0.04662,0.5053
99.7,0.10549,0.035,1045.07,1.10581,945.0699999999999,0.0155,0.21625,0.0848
0.04,5e-05,0.022,816.25,0.93153,876.25,0.0166,0.02629,1.3226
0.84,0.00097,0.027,821.87,0.95359,861.87,0.0159,0.0889,0.1382
88.45,0.09462,0.028,914.84,0.97861,934.84,0.0111,0.47759,0.3314
80.56,0.11175,0.023,800.91,1.11097,720.91,0.0249,0.14292,0.1687
18.99,0.01944,0.032,956.92,0.97953,976.92,0.0297,0.11816,0.3896
99.36,0.09813,0.027,1112.51,1.09876,1012.51,0.0219,0.03069,0.0815
17.81,0.01544,0.031,1173.14,1.01734,1153.14,0.0148,0.03469,0.2473
58.25,0.05447,0.032,1129.36,1.05611,1069.36,0.0157,0.0576,0.0907
80.13,0.08624,0.02,1009.16,1.0861,929.16,0.0238,0.0435,0.0674
204.14,0.25129,0.025,812.36,1.0,812.36,0.0243,0.28822,7.3324
99.0,0.09715,0.029,1119.09,1.09813,1019.0899999999999,0.0272,0.0532,0.2128
8.58,0.00943,0.033,870.33,0.95606,910.33,0.0162,0.17805,0.1445
0.38,0.00037,0.033,943.45,0.92183,1023.45,0.0286,0.1231,0.1144
0.08,8e-05,0.032,942.82,0.92178,1022.82,0.0157,0.07287,0.2267
0.15,0.00016,0.034,909.5,0.97848,929.5,0.0157,0.05106,0.0591
98.24,0.11251,0.034,973.19,1.11452,873.19,0.027,0.10679,0.6566
75.37,0.07395,0.02,1079.18,1.05887,1019.1800000000001,0.0269,0.22302,0.1606
89.35,0.12503,0.027,814.6,1.13994,714.6,0.0149,0.08497,1.3892
73.06,0.07658,0.031,973.99,1.02096,953.99,0.0231,0.25338,0.4507
81.92,0.08021,0.033,1061.38,1.03916,1021.3800000000001,0.0292,0.17326,0.788
79.62,0.08776,0.022,987.22,1.08818,907.22,0.0175,0.06721,0.0657
2.75,0.00244,0.022,1066.61,0.94674,1126.61,0.0106,0.0784,0.3738
47.21,0.05368,0.026,919.43,1.04548,879.43,0.0276,0.08429,0.5134
59.48,0.05933,0.024,1062.54,1.05985,1002.54,0.0193,0.05358,0.084
40.06,0.04542,0.035,942.03,1.06802,882.03,0.0167,0.05901,2.766
21.03,0.02015,0.022,1063.51,1.01917,1043.51,0.0171,0.05297,0.1264
39.27,0.03337,0.026,1156.75,0.983,1176.75,0.0149,0.27053,0.1555
87.75,0.0714,0.034,1168.94,0.95118,1228.94,0.0273,0.19329,1.9028
27.61,0.02876,0.035,959.85,1.0,959.85,0.0133,0.12413,0.4702
0.02,2e-05,0.035,891.12,0.95704,931.12,0.0189,0.02625,0.543
5.68,0.00494,0.026,1089.27,0.94779,1149.27,0.0166,0.12851,0.1996
99.06,0.09697,0.025,1121.54,1.09789,1021.54,0.0161,0.12592,0.0892
19.98,0.02492,0.023,801.7,1.0,801.7,0.0119,0.15574,0.1746
20.75,0.02335,0.033,908.6,1.02251,888.6,0.0195,0.04794,0.9021
84.93,0.0675,0.033,1198.31,0.95232,1258.31,0.0213,0.1361,6.0178
56.47,0.06562,0.026,900.55,1.04648,860.55,0.0127,0.12754,0.809
115.23,0.10572,0.023,1069.92,0.98165,1089.92,0.0234,0.2134,2.0178
69.17,0.06408,0.024,1159.49,1.07411,1079.49,0.0213,0.01442,2.3412
3.4,0.00315,0.03,1020.18,0.94445,1080.1799999999998,0.0121,0.09897,0.2946
22.03,0.0207,0.024,1084.03,1.0188,1064.03,0.0239,0.04479,0.208
12.96,0.01385,0.028,935.43,1.0,935.43,0.0134,0.06116,0.5146
71.76,0.07818,0.029,957.87,1.04358,917.87,0.02,0.21744,0.4127
134.36,0.13141,0.023,1102.42,1.07825,1022.4200000000001,0.0267,0.23623,0.801
90.41,0.10829,0.031,934.88,1.11978,834.88,0.0165,0.03078,0.6397
79.75,0.10419,0.03,845.4,1.10452,765.4,0.0298,0.08994,0.0975
23.45,0.02259,0.023,1057.92,1.01927,1037.92,0.0281,0.0913,0.0719
0.36,0.00032,0.032,1060.02,0.92983,1140.02,0.0168,0.07901,0.2355
39.62,0.04824,0.033,861.33,1.0487,821.33,0.0298,0.06017,0.1108
10.81,0.00916,0.033,1159.76,0.98305,1179.76,0.029,0.0671,0.4089
0.21,0.00023,0.025,863.47,0.95573,903.47,0.0219,0.03619,0.4453
3.69,0.00377,0.028,978.93,1.0,978.93,0.0177,0.04053,0.0641
1.95,0.0022,0.035,805.66,0.90967,885.66,0.0154,0.14587,0.2232
0.32,0.00032,0.026,953.28,0.94079,1013.28,0.0282,0.07241,0.1888
20.41,0.01881,0.026,1105.31,1.01843,1085.31,0.0266,0.03858,0.1011
99.42,0.13557,0.031,833.34,1.13636,733.34,0.0189,0.22294,0.0723
23.72,0.02045,0.025,1120.12,0.96552,1160.12,0.0284,0.26789,0.1108
67.58,0.06163,0.035,1176.59,1.07295,1096.59,0.0106,0.02307,0.4242
60.93,0.08175,0.027,805.34,1.0805,745.34,0.025,0.12339,0.198
88.45,0.0946,0.034,1035.02,1.10695,935.02,0.0157,0.03887,0.5713
94.69,0.10767,0.034,979.44,1.11371,879.44,0.0118,0.12573,0.3929
56.78,0.05848,0.032,1010.98,1.0412,970.98,0.0221,0.18082,0.2425
93.34,0.10935,0.033,913.6,1.07029,853.6,0.012,0.21299,0.9174
36.49,0.03558,0.023,1045.67,1.0195,1025.67,0.0163,0.0915,0.551
20.64,0.02041,0.028,951.23,0.94067,1011.23,0.012,0.16347,0.5525
46.2,0.04699,0.031,1023.12,1.04069,983.12,0.0186,0.14283,0.1529
5.35,0.00467,0.033,1065.05,0.93013,1145.05,0.0123,0.09767,0.5941
65.92,0.06021,0.033,1154.78,1.05481,1094.78,0.0112,0.17771,0.1377
78.57,0.09708,0.026,889.31,1.09885,809.31,0.0222,0.04908,0.2785
23.04,0.02731,0.028,863.69,1.02371,843.69,0.0274,0.07297,0.1708
61.35,0.07071,0.027,927.64,1.06915,867.64,0.0204,0.11006,0.2758
10.65,0.01043,0.025,981.49,0.96084,1021.49,0.0187,0.10643,0.3977
58.99,0.0658,0.026,956.46,1.06693,896.46,0.011,0.02607,0.0671
26.32,0.03347,0.02,806.3,1.02544,786.3,0.0192,0.05434,0.752
22.1,0.02441,0.025,865.29,0.95582,905.29,0.017,0.14805,0.6087
3.97,0.00354,0.027,1120.83,1.0,1120.83,0.0288,0.01139,0.4788
17.73,0.01854,0.025,936.11,0.97908,956.11,0.0299,0.16645,0.1754
0.03,3e-05,0.033,899.98,0.95745,939.98,0.0189,0.04378,0.1773
59.15,0.06729,0.027,939.06,1.06825,879.06,0.019,0.01057,0.0986
2.45,0.00261,0.024,938.36,1.0,938.36,0.0225,0.01213,0.3587
39.38,0.04088,0.032,1003.37,1.04152,963.37,0.0181,0.08794,0.0635
79.81,0.09384,0.025,930.49,1.09406,850.49,0.0234,0.03329,0.0577
40.5,0.03883,0.022,1083.11,1.03835,1043.11,0.0208,0.07663,0.1031
0.58,0.00053,0.024,1053.63,0.96342,1093.63,0.0199,0.06708,0.1232
97.79,0.10229,0.029,1056.0,1.1046,956.0,0.0198,0.07347,0.1903
2.72,0.00295,0.026,841.95,0.91323,921.95,0.0195,0.17621,0.1576
0.26,0.00031,0.033,829.51,0.97646,849.51,0.0222,0.05479,0.0741
80.05,0.07668,0.025,1123.91,1.07663,1043.91,0.0275,0.01588,0.0784
47.71,0.0607,0.027,826.06,1.05089,786.06,0.0257,0.1908,0.1355
37.28,0.03587,0.034,959.39,0.92303,1039.3899999999999,0.0109,0.14842,2.4095
39.83,0.04663,0.026,894.26,1.04682,854.26,0.0162,0.10029,0.0788
1.54,0.00163,0.032,926.41,0.97887,946.41,0.01,0.04346,0.3495
20.45,0.02217,0.025,942.5,1.02168,922.5,0.0153,0.07649,0.0535
29.49,0.03399,0.031,887.71,1.02305,867.71,0.0225,0.07896,0.5921
0.0,0.0,0.035,832.84,0.91236,912.84,0.0109,0.06306,0.0823
79.92,0.07723,0.031,1114.89,1.0773,1034.89,0.0299,0.09737,0.1693
55.99,0.06664,0.031,900.24,1.07141,840.24,0.0205,0.06741,0.7041
43.54,0.03581,0.027,1195.99,0.98355,1215.99,0.0154,0.07685,9.5642
41.92,0.05155,0.027,853.2,1.04919,813.2,0.0225,0.07147,0.5196
149.26,0.13618,0.023,1136.01,1.0365,1096.01,0.0269,0.30113,0.9408
34.87,0.03508,0.034,974.04,0.97988,994.04,0.0258,0.10251,1.6438
95.35,0.12426,0.028,867.36,1.13032,767.36,0.0133,0.10185,0.3747
22.99,0.0217,0.031,1079.32,1.01888,1059.32,0.0217,0.07353,0.1311
20.22,0.01897,0.033,1085.91,1.01876,1065.91,0.0187,0.04346,0.6467
23.05,0.02627,0.026,837.29,0.95441,877.29,0.0214,0.08359,2.4866
7.89,0.00631,0.023,1171.04,0.93605,1251.04,0.0298,0.09993,0.4673
61.61,0.05945,0.027,1076.42,1.03859,1036.42,0.0178,0.12275,0.733
1.69,0.00142,0.021,1129.06,0.94954,1189.06,0.0288,0.09407,0.155
50.69,0.04388,0.023,1135.19,0.98269,1155.19,0.0206,0.34616,0.1466
2.92,0.00317,0.03,901.31,0.97829,921.31,0.0102,0.07969,0.1326
0.6,0.00067,0.027,840.17,0.93335,900.17,0.0197,0.10559,0.1475
45.76,0.04586,0.033,1037.89,1.04008,997.8900000000001,0.0155,0.17438,0.0916
45.33,0.04937,0.031,958.17,1.04356,918.17,0.0242,0.15658,0.1168
78.6,0.10764,0.027,810.22,1.10956,730.22,0.0257,0.06424,0.4968
4.65,0.00557,0.035,834.43,1.0,834.43,0.0124,0.06242,0.0634
16.78,0.0209,0.033,822.92,1.02491,802.92,0.0158,0.03962,0.5173
39.05,0.03393,0.021,1190.91,1.03476,1150.91,0.0125,0.03305,0.0895
14.79,0.01624,0.03,850.5,0.9341,910.5,0.0104,0.1537,0.5691
99.52,0.12556,0.025,892.64,1.12616,792.64,0.0163,0.04683,0.0513
10.76,0.00972,0.03,1087.46,0.98194,1107.46,0.0212,0.07085,0.4512
0.51,0.00055,0.024,894.93,0.95722,934.93,0.0143,0.05831,0.2247
70.66,0.06438,0.023,1137.62,1.03644,1097.62,0.0272,0.18291,0.3411
61.89,0.06192,0.027,1039.46,1.04002,999.46,0.0184,0.23146,0.1811
59.83,0.06364,0.022,1000.11,1.06382,940.11,0.0219,0.06234,0.1434
48.93,0.05464,0.029,895.42,1.0,895.42,0.0183,0.23225,0.3812
0.0,0.0,0.032,853.45,0.93431,913.45,0.0104,0.04879,0.0987
58.55,0.07066,0.033,888.62,1.07241,828.62,0.0167,0.09796,0.103
4.41,0.00441,0.024,940.91,0.94005,1000.91,0.03,0.10323,0.318
0.31,0.00031,0.031,979.75,0.97999,999.75,0.0212,0.02097,0.5485
57.9,0.07768,0.033,805.38,1.0805,745.38,0.0186,0.04757,0.1661
5.32,0.00563,0.034,904.57,0.95765,944.57,0.0143,0.18763,0.0787
0.33,0.00036,0.034,888.72,0.95693,928.72,0.0259,0.03781,0.4905
0.0,0.0,0.025,923.46,0.93899,983.46,0.0152,0.03417,0.1607
41.93,0.03878,0.024,1121.35,1.03699,1081.35,0.0253,0.09315,0.1069
1.58,0.00134,0.021,1140.61,0.96612,1180.61,0.0238,0.06005,0.2033
11.16,0.01232,0.023,846.11,0.93378,906.11,0.0279,0.19418,0.2307
13.45,0.01478,0.023,909.87,1.0,909.87,0.0234,0.08451,0.193
0.1,0.0001,0.034,959.41,0.92303,1039.4099999999999,0.0266,0.1161,0.0866
39.68,0.04329,0.031,956.68,1.04364,916.68,0.0288,0.03584,0.0993
7.19,0.00627,0.024,1107.06,0.96513,1147.06,0.0146,0.14532,0.1125
11.65,0.01287,0.02,885.17,0.9779,905.17,0.0298,0.07705,0.4614
79.78,0.08214,0.021,1051.22,1.08237,971.22,0.0192,0.10117,0.0679
15.98,0.0134,0.022,1192.89,1.0,1192.89,0.0218,0.09687,0.1211
76.82,0.07201,0.024,1146.78,1.07499,1066.78,0.0205,0.04299,0.6142
11.88,0.01454,0.035,816.83,1.0,816.83,0.0158,0.07202,0.4073
99.05,0.09293,0.033,1165.91,1.09382,1065.91,0.0291,0.08996,0.1323
99.66,0.09647,0.031,1133.07,1.0968,1033.07,0.0293,0.07895,0.0703
0.01,1e-05,0.032,827.47,0.91184,907.47,0.0248,0.0614,0.2667
31.1,0.03478,0.027,834.07,0.93289,894.07,0.0169,0.13913,1.7211
0.03,3e-05,0.031,858.95,0.93471,918.95,0.0266,0.091,0.0798
14.86,0.01823,0.025,814.94,1.0,814.94,0.0276,0.08209,0.3018
59.38,0.0786,0.029,815.47,1.07942,755.47,0.0263,0.07215,0.5112
152.96,0.17862,0.027,936.32,1.09342,856.32,0.0161,0.44004,0.524
57.86,0.06506,0.033,909.38,1.02249,889.38,0.0236,0.21359,0.4252
39.61,0.05071,0.029,821.18,1.0512,781.18,0.0207,0.08687,0.0571
41.59,0.03893,0.021,1048.26,0.98128,1068.26,0.0102,0.1723,0.5538
39.22,0.0507,0.033,813.51,1.05171,773.51,0.0269,0.06369,0.1714
93.73,0.09853,0.024,1051.27,1.10512,951.27,0.0116,0.07815,0.53
65.11,0.08323,0.024,822.25,1.05113,782.25,0.021,0.49849,0.0706
144.86,0.15634,0.026,1026.55,1.10793,926.55,0.0106,0.31866,0.5734
66.36,0.07691,0.024,842.87,0.97682,862.87,0.0148,0.27521,0.7237
78.03,0.09818,0.022,874.73,1.10066,794.73,0.0137,0.07085,0.2399
109.43,0.13456,0.021,893.25,1.09837,813.25,0.0186,0.38163,0.2306
97.32,0.12386,0.035,885.72,1.12727,785.72,0.0132,0.16129,0.3025
72.61,0.06703,0.031,1123.27,1.03693,1083.27,0.0248,0.24189,0.2356
13.69,0.01178,0.025,1102.17,0.94837,1162.17,0.0126,0.12008,0.5012
9.11,0.00749,0.033,1195.62,0.98355,1215.62,0.0154,0.09527,0.1643
59.43,0.07583,0.029,843.7,1.07656,783.7,0.0215,0.10197,0.0809
75.52,0.07879,0.025,1038.54,1.08346,958.54,0.0159,0.0588,0.4632
58.34,0.05534,0.021,1114.18,1.05692,1054.18,0.0126,0.05059,0.1683
6.98,0.00674,0.035,1035.49,1.0,1035.49,0.0119,0.03992,0.7928
0.18,0.00019,0.025,923.5,0.95848,963.5,0.0219,0.089,0.0578
54.03,0.06051,0.027,912.85,1.0224,892.85,0.0136,0.16854,0.6345
32.85,0.03113,0.028,1075.28,1.01895,1055.28,0.0259,0.1634,0.097
2.41,0.00205,0.027,1156.57,0.983,1176.57,0.0276,0.04699,0.1736
24.7,0.02158,0.031,1164.34,1.01748,1144.34,0.029,0.04978,0.3286
0.35,0.00038,0.031,849.87,0.93406,909.87,0.0145,0.05892,0.4426
1.32,0.00131,0.027,924.05,0.92032,1004.05,0.0233,0.14546,0.1357
66.39,0.08201,0.032,849.58,1.04941,809.58,0.0275,0.14769,0.9639
58.71,0.05811,0.025,1070.25,1.05939,1010.25,0.0186,0.01841,0.1627
20.46,0.01928,0.021,1061.13,1.0,1061.13,0.0268,0.0924,0.256
45.63,0.03944,0.022,1117.0,0.96543,1157.0,0.0192,0.15902,0.827
83.56,0.08291,0.021,1087.8,1.07938,1007.8,0.0248,0.04821,1.1134
0.28,0.00033,0.028,822.28,0.97625,842.28,0.0156,0.03364,0.237
0.01,1e-05,0.022,961.4,0.96006,1001.4,0.0255,0.03774,0.1448
7.31,0.00718,0.031,1018.54,1.0,1018.54,0.0267,0.03747,0.273
30.27,0.02624,0.022,1153.79,1.0,1153.79,0.0244,0.10994,0.3523
86.52,0.09429,0.028,997.64,1.08718,917.64,0.0289,0.1159,0.5662
40.43,0.04561,0.023,926.44,1.04512,886.44,0.0113,0.09383,0.1621
19.6,0.01932,0.022,1014.38,1.0,1014.38,0.0219,0.11643,0.1745
27.22,0.02443,0.024,1074.14,0.9641,1114.14,0.0198,0.27737,0.1365
92.19,0.10061,0.034,1016.34,1.10913,916.34,0.0105,0.05905,0.3161
72.19,0.08441,0.032,935.28,1.09354,855.28,0.0129,0.06652,0.4457
40.17,0.05172,0.034,816.63,1.0515,776.63,0.0235,0.10511,0.1298
59.24,0.05371,0.025,1162.91,1.0544,1102.91,0.0235,0.04488,0.2851
79.56,0.07137,0.025,1194.71,1.07177,1114.71,0.0234,0.04316,0.1164
38.51,0.04173,0.033,962.73,1.04335,922.73,0.0165,0.06288,0.0979
10.69,0.01076,0.033,933.57,0.93961,993.57,0.0146,0.09716,1.0324
28.12,0.02446,0.021,1129.83,0.98261,1149.83,0.013,0.13251,0.4212
61.36,0.05441,0.032,1187.75,1.0532,1127.75,0.0178,0.07605,3.3838
1.79,0.00148,0.024,1129.69,0.93387,1209.69,0.0218,0.13012,0.1319
29.63,0.02862,0.033,1055.13,1.01932,1035.13,0.0103,0.07602,1.1217
86.43,0.07874,0.026,1177.68,1.07288,1097.68,0.0125,0.12266,0.6013
71.55,0.08698,0.025,882.63,1.07294,822.63,0.0282,0.18977,0.2656
20.71,0.01872,0.033,1126.4,1.01808,1106.4,0.0205,0.06031,0.0955
0.0,0.0,0.024,1111.18,0.94877,1171.18,0.0286,0.04455,0.0824
59.3,0.07341,0.021,867.75,1.07428,807.75,0.0105,0.10461,0.0791
36.42,0.03569,0.034,1060.38,1.0392,1020.3800000000001,0.0274,0.03348,0.5838
64.12,0.06587,0.031,953.43,0.97945,973.43,0.0179,0.36063,0.3008
62.41,0.06123,0.023,1079.21,1.05887,1019.21,0.0299,0.0467,0.3909
0.0,0.0,0.024,1096.87,0.94814,1156.87,0.0118,0.03809,0.0987
11.56,0.01037,0.022,1114.87,1.0,1114.87,0.0164,0.04634,0.3864
59.39,0.07373,0.023,865.5,1.07449,805.5,0.0182,0.08686,0.2009
4.35,0.0045,0.033,966.72,1.0,966.72,0.0207,0.03165,0.2031
18.66,0.02023,0.033,902.3,0.97832,922.3,0.0241,0.09851,0.7097
0.0,0.0,0.034,988.12,0.94275,1048.12,0.0184,0.04674,0.1758
80.19,0.08211,0.025,1056.57,1.08192,976.5699999999999,0.0294,0.04575,0.082
78.31,0.07039,0.032,1192.45,1.07191,1112.45,0.011,0.12454,0.0849
6.72,0.00566,0.029,1126.98,0.94945,1186.98,0.0214,0.17373,0.1129
40.12,0.03274,0.032,1165.45,0.95104,1225.45,0.0252,0.39645,0.1234
0.0,0.0,0.022,929.57,0.92076,1009.57,0.029,0.02839,0.0732
7.94,0.00708,0.024,1121.82,1.0,1121.82,0.0205,0.04729,0.1524
30.21,0.02714,0.027,1133.0,1.01797,1113.0,0.0289,0.11208,0.1347
39.21,0.05027,0.027,820.05,1.05128,780.05,0.0169,0.02983,0.0888
41.12,0.0409,0.02,1045.5,1.03978,1005.5,0.0224,0.05932,0.1989
72.33,0.08036,0.032,940.07,1.04444,900.07,0.0153,0.43692,0.1013
62.63,0.06543,0.025,1017.17,1.06268,957.17,0.0263,0.04449,1.4474
60.59,0.05338,0.024,1195.15,1.05286,1135.15,0.0297,0.05151,0.1168
2.41,0.00196,0.034,1147.22,0.93481,1227.22,0.0148,0.08701,0.3858
37.6,0.03262,0.03,1192.69,1.0347,1152.69,0.0162,0.03856,0.1461
3.12,0.00337,0.034,846.88,0.91369,926.88,0.0239,0.19179,0.1424
29.59,0.03095,0.024,895.95,0.93724,955.95,0.0257,0.2362,0.3912
56.59,0.06799,0.023,852.33,1.02403,832.33,0.0155,0.37687,0.1353
56.53,0.04632,0.029,1160.35,0.95083,1220.35,0.022,0.29789,0.361
4.21,0.00456,0.032,922.49,1.0,922.49,0.0121,0.03035,0.6614
0.03,3e-05,0.028,1047.26,0.92903,1127.26,0.0298,0.02928,0.807
63.07,0.06328,0.034,1076.63,1.08027,996.6300000000001,0.0145,0.02454,0.7788
0.0,0.0,0.03,1082.65,0.93119,1162.65,0.0292,0.03775,0.1758
8.69,0.01046,0.028,810.46,0.97592,830.46,0.0166,0.13976,0.1438
69.35,0.06618,0.025,967.93,0.92366,1047.9299999999998,0.0259,0.2288,1.3509
13.72,0.01551,0.034,884.41,1.0,884.41,0.0201,0.08086,0.2989
29.92,0.02526,0.025,1124.47,0.94934,1184.47,0.0233,0.1344,0.8202
0.0,0.0,0.029,1002.72,0.92611,1082.72,0.0229,0.04002,0.123
79.12,0.07681,0.033,1110.1,1.07766,1030.1,0.0287,0.08677,0.1484
127.12,0.11829,0.025,1174.65,1.09305,1074.65,0.0104,0.17528,1.0973
0.0,0.0,0.029,1022.74,0.92745,1102.74,0.0213,0.07159,0.064
0.0,0.0,0.03,833.25,0.9124,913.25,0.0103,0.05165,0.161
97.86,0.08934,0.033,1195.42,1.09129,1095.42,0.0175,0.12421,0.243
0.05,5e-05,0.024,885.83,0.93656,945.83,0.0127,0.08347,0.1035
30.97,0.03515,0.034,901.06,1.0227,881.06,0.0245,0.07039,1.1091
110.72,0.14024,0.031,889.51,1.12666,789.51,0.0116,0.18585,1.0313
60.17,0.06951,0.024,925.59,1.06932,865.59,0.0272,0.05476,0.1284
5.16,0.00412,0.023,1170.91,0.93605,1250.91,0.0263,0.17787,0.1159
1.51,0.00133,0.035,1092.95,0.96469,1132.95,0.0117,0.05917,0.2952
18.49,0.01651,0.026,1059.59,0.94641,1119.59,0.0229,0.17259,0.319
8.08,0.0096,0.02,821.32,0.97623,841.32,0.0103,0.13519,0.1364
52.58,0.05,0.025,1011.54,0.96196,1051.54,0.0164,0.21884,0.6784
0.0,0.0,0.026,1105.88,0.96509,1145.88,0.0128,0.01917,0.0986
98.03,0.12573,0.034,879.7,1.12825,779.7,0.0208,0.03398,0.1442
0.28,0.00027,0.021,960.78,0.94122,1020.78,0.0155,0.05688,0.3061
