C,C/K,D,S,S/K,k,r,sigma,t
19.86,0.02063,0.021,982.51,1.02078,962.51,0.0196,0.02706,0.1831
19.54,0.01974,0.021,1009.65,1.02021,989.65,0.0107,0.04343,0.0522
35.73,0.03913,0.032,933.1,1.0219,913.1,0.0133,0.12279,0.4183
5.1,0.00469,0.034,987.74,0.90807,1087.74,0.0159,0.18657,0.2067
2.3,0.00191,0.03,1126.39,0.93369,1206.39,0.0118,0.09801,0.2942
9.09,0.0087,0.022,1044.96,1.0,1044.96,0.0247,0.05172,0.1698
109.31,0.11794,0.026,1026.83,1.10789,926.8299999999999,0.0185,0.37405,0.0857
34.7,0.02923,0.026,1147.33,0.96631,1187.33,0.0128,0.10755,1.5703
18.01,0.01458,0.034,1195.37,0.96762,1235.37,0.0232,0.19068,0.1445
24.27,0.02764,0.026,898.05,1.02278,878.05,0.0282,0.11192,0.0848
5.01,0.00461,0.023,987.76,0.90807,1087.76,0.023,0.08853,0.8684
0.12,0.0001,0.024,1109.83,0.91734,1209.83,0.0297,0.10025,0.1295
41.46,0.04514,0.023,958.42,1.04355,918.42,0.0252,0.08684,0.1393
79.17,0.10473,0.034,835.93,1.10583,755.93,0.0213,0.09119,0.0675
20.17,0.02294,0.034,899.31,1.02275,879.31,0.0298,0.03849,0.2841
81.07,0.10023,0.023,888.86,1.0989,808.86,0.0249,0.14292,0.1687
18.99,0.01944,0.032,956.92,0.97953,976.92,0.0297,0.11816,0.3896
2.03,0.00167,0.025,1112.51,0.91753,1212.51,0.0284,0.10212,0.3164
60.13,0.06712,0.031,935.92,1.04465,895.92,0.0162,0.13639,0.8381
0.0,0.0,0.024,856.48,0.93453,916.48,0.013,0.03546,0.1034
76.97,0.07461,0.033,1111.7,1.07754,1031.7,0.0273,0.06465,0.5091
98.86,0.093,0.031,1163.04,1.09407,1063.04,0.0213,0.06268,0.0848
268.49,0.25129,0.025,1068.45,1.0,1068.45,0.0243,0.28822,7.3324
99.0,0.09715,0.029,1119.09,1.09813,1019.0899999999999,0.0272,0.0532,0.2128
8.58,0.00943,0.033,870.33,0.95606,910.33,0.0162,0.17805,0.1445
0.38,0.00037,0.033,943.45,0.92183,1023.45,0.0286,0.1231,0.1144
0.08,8e-05,0.032,942.82,0.92178,1022.82,0.0157,0.07287,0.2267
0.15,0.00016,0.034,909.5,0.97848,929.5,0.0157,0.05106,0.0591
98.24,0.11251,0.034,973.19,1.11452,873.19,0.027,0.10679,0.6566
75.37,0.07395,0.02,1079.18,1.05887,1019.1800000000001,0.0269,0.22302,0.1606
89.35,0.12503,0.027,814.6,1.13994,714.6,0.0149,0.08497,1.3892
73.06,0.07658,0.031,973.99,1.02096,953.99,0.0231,0.25338,0.4507
81.92,0.08021,0.033,1061.38,1.03916,1021.3800000000001,0.0292,0.17326,0.788
79.62,0.08776,0.022,987.22,1.08818,907.22,0.0175,0.06721,0.0657
2.75,0.00244,0.022,1066.61,0.94674,1126.61,0.0106,0.0784,0.3738
47.21,0.05368,0.026,919.43,1.04548,879.43,0.0276,0.08429,0.5134
0.01,1e-05,0.022,1062.54,0.91398,1162.54,0.0234,0.07509,0.1414
40.72,0.04298,0.035,1007.43,1.06333,947.43,0.0167,0.05901,2.766
21.03,0.02015,0.022,1063.51,1.01917,1043.51,0.0171,0.05297,0.1264
39.27,0.03337,0.026,1156.75,0.983,1176.75,0.0149,0.27053,0.1555
87.75,0.0714,0.034,1168.94,0.95118,1228.94,0.0273,0.19329,1.9028
27.61,0.02876,0.035,959.85,1.0,959.85,0.0133,0.12413,0.4702
0.02,2e-05,0.035,891.12,0.95704,931.12,0.0189,0.02625,0.543
5.68,0.00494,0.026,1089.27,0.94779,1149.27,0.0166,0.12851,0.1996
99.06,0.09697,0.025,1121.54,1.09789,1021.54,0.0161,0.12592,0.0892
19.98,0.02492,0.023,801.7,1.0,801.7,0.0119,0.15574,0.1746
20.75,0.02335,0.033,908.6,1.02251,888.6,0.0195,0.04794,0.9021
12.91,0.00994,0.024,1198.31,0.92298,1298.31,0.0289,0.10349,0.7946
63.52,0.06045,0.026,1090.82,1.03807,1050.82,0.0127,0.12754,0.809
115.23,0.10572,0.023,1069.92,0.98165,1089.92,0.0234,0.2134,2.0178
69.17,0.06408,0.024,1159.49,1.07411,1079.49,0.0213,0.01442,2.3412
3.4,0.00315,0.03,1020.18,0.94445,1080.1799999999998,0.0121,0.09897,0.2946
22.03,0.0207,0.024,1084.03,1.0188,1064.03,0.0239,0.04479,0.208
12.96,0.01385,0.028,935.43,1.0,935.43,0.0134,0.06116,0.5146
71.76,0.07818,0.029,957.87,1.04358,917.87,0.02,0.21744,0.4127
134.36,0.13141,0.023,1102.42,1.07825,1022.4200000000001,0.0267,0.23623,0.801
90.41,0.10829,0.031,934.88,1.11978,834.88,0.0165,0.03078,0.6397
79.75,0.10419,0.03,845.4,1.10452,765.4,0.0298,0.08994,0.0975
23.45,0.02259,0.023,1057.92,1.01927,1037.92,0.0281,0.0913,0.0719
0.36,0.00032,0.032,1060.02,0.92983,1140.02,0.0168,0.07901,0.2355
39.62,0.04824,0.033,861.33,1.0487,821.33,0.0298,0.06017,0.1108
0.0,0.0,0.031,1159.76,0.92062,1259.76,0.0251,0.02074,0.4188
77.32,0.09881,0.027,802.49,1.02556,782.49,0.0171,0.28159,0.6321
4.45,0.00377,0.028,1180.85,1.0,1180.85,0.0177,0.04053,0.0641
0.04,4e-05,0.025,805.66,0.88958,905.66,0.015,0.12148,0.1272
0.73,0.00062,0.026,1114.29,0.94891,1174.29,0.0282,0.07241,0.1888
20.41,0.01881,0.026,1105.31,1.01843,1085.31,0.0266,0.03858,0.1011
99.42,0.13557,0.031,833.34,1.13636,733.34,0.0189,0.22294,0.0723
23.72,0.02045,0.025,1120.12,0.96552,1160.12,0.0284,0.26789,0.1108
67.58,0.06163,0.035,1176.59,1.07295,1096.59,0.0106,0.02307,0.4242
60.93,0.08175,0.027,805.34,1.0805,745.34,0.025,0.12339,0.198
88.45,0.0946,0.034,1035.02,1.10695,935.02,0.0157,0.03887,0.5713
94.69,0.10767,0.034,979.44,1.11371,879.44,0.0118,0.12573,0.3929
56.78,0.05848,0.032,1010.98,1.0412,970.98,0.0221,0.18082,0.2425
93.34,0.10935,0.033,913.6,1.07029,853.6,0.012,0.21299,0.9174
36.49,0.03558,0.023,1045.67,1.0195,1025.67,0.0163,0.0915,0.551
20.64,0.02041,0.028,951.23,0.94067,1011.23,0.012,0.16347,0.5525
46.2,0.04699,0.031,1023.12,1.04069,983.12,0.0186,0.14283,0.1529
5.35,0.00467,0.033,1065.05,0.93013,1145.05,0.0123,0.09767,0.5941
65.92,0.06021,0.033,1154.78,1.05481,1094.78,0.0112,0.17771,0.1377
78.57,0.09708,0.026,889.31,1.09885,809.31,0.0222,0.04908,0.2785
0.0,0.0,0.027,863.69,0.89623,963.69,0.024,0.03395,0.5274
64.07,0.05888,0.027,1148.22,1.05514,1088.22,0.0204,0.11006,0.2758
10.65,0.01043,0.025,981.49,0.96084,1021.49,0.0187,0.10643,0.3977
58.99,0.0658,0.026,956.46,1.06693,896.46,0.011,0.02607,0.0671
26.32,0.03347,0.02,806.3,1.02544,786.3,0.0192,0.05434,0.752
22.1,0.02441,0.025,865.29,0.95582,905.29,0.017,0.14805,0.6087
3.97,0.00354,0.027,1120.83,1.0,1120.83,0.0288,0.01139,0.4788
17.73,0.01854,0.025,936.11,0.97908,956.11,0.0299,0.16645,0.1754
0.03,3e-05,0.033,899.98,0.95745,939.98,0.0189,0.04378,0.1773
59.15,0.06729,0.027,939.06,1.06825,879.06,0.019,0.01057,0.0986
0.95,0.00091,0.028,938.36,0.90369,1038.3600000000001,0.0132,0.07881,0.6331
99.11,0.10296,0.024,1062.59,1.10389,962.5899999999999,0.0204,0.08294,0.1538
61.46,0.05899,0.026,961.82,0.92321,1041.8200000000002,0.0227,0.11057,7.1683
98.44,0.11525,0.034,954.14,1.11708,854.14,0.0158,0.04943,0.0824
96.68,0.13159,0.03,834.72,1.13611,734.72,0.0129,0.04764,0.2143
0.27,0.00029,0.024,905.76,0.95771,945.76,0.0199,0.06708,0.1232
97.79,0.10229,0.029,1056.0,1.1046,956.0,0.0198,0.07347,0.1903
2.72,0.00295,0.026,841.95,0.91323,921.95,0.0195,0.17621,0.1576
0.26,0.00031,0.033,829.51,0.97646,849.51,0.0222,0.05479,0.0741
80.05,0.07668,0.025,1123.91,1.07663,1043.91,0.0275,0.01588,0.0784
47.71,0.0607,0.027,826.06,1.05089,786.06,0.0257,0.1908,0.1355
0.0,0.0,0.031,959.39,0.90561,1059.3899999999999,0.0289,0.04438,0.1716
39.5,0.04203,0.025,979.79,1.04256,939.79,0.0236,0.03304,0.2252
2.5,0.00214,0.021,1067.78,0.91437,1167.78,0.0249,0.17981,0.1228
0.0,0.0,0.024,883.71,0.93642,943.71,0.0178,0.04869,0.0774
79.97,0.07144,0.028,1199.47,1.07146,1119.47,0.0298,0.0571,0.1563
9.22,0.00759,0.024,1115.13,0.9177,1215.13,0.0234,0.23363,0.1457
165.76,0.18525,0.032,974.79,1.08941,894.79,0.0272,0.61865,0.2914
0.0,0.0,0.029,819.26,0.93176,879.26,0.0116,0.03825,0.3992
5.96,0.00688,0.024,826.64,0.95384,866.64,0.0182,0.11817,0.2586
57.49,0.05355,0.021,1133.6,1.05589,1073.6,0.0111,0.03482,0.2117
9.5,0.00839,0.029,1071.86,0.94699,1131.86,0.0227,0.18672,0.1421
29.12,0.02433,0.034,1137.05,0.94988,1197.05,0.0258,0.10251,1.6438
1.96,0.00203,0.022,867.36,0.89663,967.36,0.0277,0.1263,0.3248
0.0,0.0,0.022,1001.79,0.92605,1081.79,0.0234,0.03924,0.1159
1.9,0.00176,0.028,1058.97,0.98146,1078.97,0.0177,0.06901,0.0857
88.46,0.08809,0.033,1084.22,1.07966,1004.22,0.0237,0.36749,0.0542
22.43,0.01946,0.032,1152.65,1.0,1152.65,0.0103,0.09569,0.3789
100.15,0.13612,0.022,835.76,1.13591,735.76,0.0265,0.01285,0.1371
85.55,0.08414,0.032,1096.81,1.07868,1016.81,0.0275,0.19401,0.1505
34.73,0.03154,0.032,1141.15,1.03633,1101.15,0.0156,0.04813,0.5447
39.04,0.03529,0.03,1146.31,1.03616,1106.31,0.0102,0.07969,0.1326
0.6,0.00067,0.027,840.17,0.93335,900.17,0.0197,0.10559,0.1475
45.76,0.04586,0.033,1037.89,1.04008,997.8900000000001,0.0155,0.17438,0.0916
45.33,0.04937,0.031,958.17,1.04356,918.17,0.0242,0.15658,0.1168
78.6,0.10764,0.027,810.22,1.10956,730.22,0.0257,0.06424,0.4968
4.65,0.00557,0.035,834.43,1.0,834.43,0.0124,0.06242,0.0634
16.78,0.0209,0.033,822.92,1.02491,802.92,0.0158,0.03962,0.5173
39.05,0.03393,0.021,1190.91,1.03476,1150.91,0.0125,0.03305,0.0895
14.79,0.01624,0.03,850.5,0.9341,910.5,0.0104,0.1537,0.5691
99.52,0.12556,0.025,892.64,1.12616,792.64,0.0163,0.04683,0.0513
5.09,0.00429,0.028,1087.46,0.91579,1187.46,0.0287,0.27111,0.0769
0.48,0.00043,0.033,1057.28,0.9463,1117.28,0.0149,0.11745,0.0712
6.34,0.00528,0.029,1100.08,0.91667,1200.08,0.0143,0.10393,0.6876
0.01,1e-05,0.026,965.57,0.92349,1045.5700000000002,0.0184,0.08264,0.105
22.72,0.02616,0.021,868.62,1.0,868.62,0.0231,0.14873,0.193
49.08,0.05464,0.029,898.18,1.0,898.18,0.0183,0.23225,0.3812
0.0,0.0,0.032,853.45,0.93431,913.45,0.0104,0.04879,0.0987
20.55,0.02079,0.031,888.62,0.89885,988.62,0.0102,0.29102,0.2953
8.3,0.00663,0.024,1191.48,0.95206,1251.48,0.03,0.10323,0.318
0.0,0.0,0.033,979.75,0.90739,1079.75,0.0155,0.03248,0.1859
10.83,0.01084,0.029,938.83,0.93993,998.83,0.0263,0.24915,0.114
59.82,0.08054,0.025,802.71,1.08079,742.71,0.0238,0.09349,0.08
99.33,0.12645,0.024,885.5,1.12731,785.5,0.0193,0.05392,0.1102
0.0,0.0,0.027,955.41,0.90525,1055.4099999999999,0.0129,0.0197,0.3558
83.43,0.10119,0.022,904.45,1.09703,824.45,0.0241,0.1212,0.3941
1.82,0.00187,0.028,913.61,0.93837,973.61,0.0104,0.04258,3.8696
39.22,0.03787,0.03,1075.66,1.03862,1035.66,0.0259,0.04013,0.1537
95.49,0.09045,0.024,1155.67,1.09473,1055.67,0.0136,0.08561,0.6908
79.14,0.10868,0.03,808.18,1.10986,728.18,0.0116,0.15738,0.2675
78.97,0.07974,0.035,1070.38,1.08078,990.3800000000001,0.0215,0.04093,0.0641
102.47,0.10351,0.03,1089.99,1.10101,989.99,0.0231,0.2204,0.1129
4.95,0.00507,0.034,976.32,1.0,976.32,0.0142,0.04803,0.0982
19.01,0.01484,0.029,1180.66,0.92192,1280.66,0.0101,0.38055,0.0896
24.8,0.0272,0.022,931.81,1.02193,911.81,0.0218,0.09687,0.1211
76.82,0.07201,0.024,1146.78,1.07499,1066.78,0.0205,0.04299,0.6142
11.88,0.01454,0.035,816.83,1.0,816.83,0.0158,0.07202,0.4073
99.05,0.09293,0.033,1165.91,1.09382,1065.91,0.0291,0.08996,0.1323
99.66,0.09647,0.031,1133.07,1.0968,1033.07,0.0293,0.07895,0.0703
0.01,1e-05,0.032,827.47,0.91184,907.47,0.0248,0.0614,0.2667
31.1,0.03478,0.027,834.07,0.93289,894.07,0.0169,0.13913,1.7211
0.03,3e-05,0.031,858.95,0.93471,918.95,0.0266,0.091,0.0798
14.86,0.01823,0.025,814.94,1.0,814.94,0.0276,0.08209,0.3018
59.38,0.0786,0.029,815.47,1.07942,755.47,0.0263,0.07215,0.5112
152.96,0.17862,0.027,936.32,1.09342,856.32,0.0161,0.44004,0.524
57.86,0.06506,0.033,909.38,1.02249,889.38,0.0236,0.21359,0.4252
39.61,0.05071,0.029,821.18,1.0512,781.18,0.0207,0.08687,0.0571
41.59,0.03893,0.021,1048.26,0.98128,1068.26,0.0102,0.1723,0.5538
39.22,0.0507,0.033,813.51,1.05171,773.51,0.0269,0.06369,0.1714
93.73,0.09853,0.024,1051.27,1.10512,951.27,0.0116,0.07815,0.53
65.11,0.08323,0.024,822.25,1.05113,782.25,0.021,0.49849,0.0706
144.86,0.15634,0.026,1026.55,1.10793,926.55,0.0106,0.31866,0.5734
66.36,0.07691,0.024,842.87,0.97682,862.87,0.0148,0.27521,0.7237
0.0,0.0,0.034,874.73,0.89741,974.73,0.0127,0.11802,0.0772
11.13,0.01157,0.028,942.14,0.97921,962.14,0.0283,0.05548,0.8772
89.46,0.08613,0.023,1118.65,1.07702,1038.65,0.0139,0.17034,0.302
39.87,0.0443,0.031,940.05,1.04444,900.05,0.0206,0.06011,1.2514
0.09,8e-05,0.035,1097.91,0.91652,1197.91,0.0164,0.09022,0.1644
100.22,0.14026,0.022,814.53,1.13995,714.53,0.0279,0.04264,0.1073
0.0,0.0,0.033,875.39,0.93586,935.39,0.0103,0.04926,0.1626
75.45,0.07433,0.025,1095.05,1.07881,1015.05,0.0159,0.0588,0.4632
58.34,0.05534,0.021,1114.18,1.05692,1054.18,0.0126,0.05059,0.1683
6.98,0.00674,0.035,1035.49,1.0,1035.49,0.0119,0.03992,0.7928
0.18,0.00019,0.025,923.5,0.95848,963.5,0.0219,0.089,0.0578
54.03,0.06051,0.027,912.85,1.0224,892.85,0.0136,0.16854,0.6345
32.85,0.03113,0.028,1075.28,1.01895,1055.28,0.0259,0.1634,0.097
2.41,0.00205,0.027,1156.57,0.983,1176.57,0.0276,0.04699,0.1736
24.7,0.02158,0.031,1164.34,1.01748,1144.34,0.029,0.04978,0.3286
0.35,0.00038,0.031,849.87,0.93406,909.87,0.0145,0.05892,0.4426
1.32,0.00131,0.027,924.05,0.92032,1004.05,0.0233,0.14546,0.1357
66.39,0.08201,0.032,849.58,1.04941,809.58,0.0275,0.14769,0.9639
58.71,0.05811,0.025,1070.25,1.05939,1010.25,0.0186,0.01841,0.1627
20.46,0.01928,0.021,1061.13,1.0,1061.13,0.0268,0.0924,0.256
45.63,0.03944,0.022,1117.0,0.96543,1157.0,0.0192,0.15902,0.827
83.56,0.08291,0.021,1087.8,1.07938,1007.8,0.0248,0.04821,1.1134
0.28,0.00033,0.028,822.28,0.97625,842.28,0.0156,0.03364,0.237
0.01,1e-05,0.022,961.4,0.96006,1001.4,0.0255,0.03774,0.1448
7.31,0.00718,0.031,1018.54,1.0,1018.54,0.0267,0.03747,0.273
30.27,0.02624,0.022,1153.79,1.0,1153.79,0.0244,0.10994,0.3523
86.52,0.09429,0.028,997.64,1.08718,917.64,0.0289,0.1159,0.5662
0.01,1e-05,0.021,926.44,0.90258,1026.44,0.0134,0.07192,0.2385
185.35,0.2315,0.034,880.64,1.09992,800.64,0.0296,0.25248,4.8108
7.59,0.00655,0.022,1119.44,0.9655,1159.44,0.0219,0.11643,0.1745
27.22,0.02443,0.024,1074.14,0.9641,1114.14,0.0198,0.27737,0.1365
92.19,0.10061,0.034,1016.34,1.10913,916.34,0.0105,0.05905,0.3161
72.19,0.08441,0.032,935.28,1.09354,855.28,0.0129,0.06652,0.4457
40.17,0.05172,0.034,816.63,1.0515,776.63,0.0235,0.10511,0.1298
59.24,0.05371,0.025,1162.91,1.0544,1102.91,0.0235,0.04488,0.2851
79.56,0.07137,0.025,1194.71,1.07177,1114.71,0.0234,0.04316,0.1164
38.51,0.04173,0.033,962.73,1.04335,922.73,0.0165,0.06288,0.0979
10.69,0.01076,0.033,933.57,0.93961,993.57,0.0146,0.09716,1.0324
28.12,0.02446,0.021,1129.83,0.98261,1149.83,0.013,0.13251,0.4212
61.36,0.05441,0.032,1187.75,1.0532,1127.75,0.0178,0.07605,3.3838
0.0,0.0,0.03,1129.69,0.91868,1229.69,0.0215,0.08647,0.0717
0.31,0.00029,0.024,1044.71,0.98122,1064.71,0.0178,0.04895,0.062
0.23,0.00022,0.02,971.51,0.94183,1031.51,0.0181,0.04425,0.4558
0.49,0.00049,0.023,905.05,0.9005,1005.05,0.0263,0.13619,0.1543
58.49,0.05183,0.033,1188.56,1.05317,1128.56,0.0205,0.06031,0.0955
0.0,0.0,0.024,1111.18,0.94877,1171.18,0.0286,0.04455,0.0824
59.3,0.07341,0.021,867.75,1.07428,807.75,0.0105,0.10461,0.0791
0.01,1e-05,0.031,1060.38,0.91382,1160.38,0.0135,0.04664,0.4747
0.43,0.00035,0.035,1157.27,0.95071,1217.27,0.0242,0.04227,0.5075
0.0,0.0,0.032,839.16,0.93327,899.16,0.0254,0.02694,0.0756
0.27,0.00021,0.023,1197.27,0.92292,1297.27,0.0114,0.06835,0.3248
0.04,4e-05,0.025,917.83,0.90175,1017.83,0.0248,0.09848,0.1522
52.2,0.05891,0.033,866.15,0.97743,886.15,0.0196,0.23232,0.6644
21.24,0.01784,0.028,1190.91,1.0,1190.91,0.0132,0.06722,0.7529
39.78,0.04083,0.02,1014.38,1.04105,974.38,0.0183,0.03989,0.0909
7.02,0.00819,0.032,837.37,0.97667,857.37,0.0125,0.07748,0.4449
110.38,0.139,0.023,894.12,1.12593,794.12,0.0161,0.14876,1.1681
12.73,0.01053,0.023,1188.43,0.98345,1208.43,0.0238,0.152,0.0855
6.4,0.00781,0.026,819.11,1.0,819.11,0.0296,0.06059,0.1003
72.28,0.07972,0.03,986.67,1.08823,906.67,0.013,0.07199,0.5324
2.9,0.00277,0.03,986.82,0.94268,1046.8200000000002,0.0185,0.0923,0.317
39.19,0.04008,0.028,1017.72,1.04091,977.72,0.017,0.07034,0.0931
8.98,0.01,0.024,897.67,1.0,897.67,0.0215,0.07784,0.1071
40.84,0.04344,0.021,940.12,1.0,940.12,0.0183,0.0595,5.4587
78.95,0.07697,0.027,1105.69,1.078,1025.69,0.0223,0.0765,0.1632
38.31,0.04428,0.022,905.17,1.04623,865.17,0.0105,0.02542,0.1561
9.34,0.00921,0.021,954.07,0.94083,1014.07,0.0158,0.0952,0.7157
0.76,0.0009,0.03,805.03,0.95266,845.03,0.0249,0.07361,0.1973
7.34,0.00648,0.027,1092.78,0.96469,1132.78,0.0258,0.20102,0.0595
30.54,0.03465,0.035,921.31,1.04539,881.31,0.0223,0.04668,2.4089
53.0,0.05175,0.034,1064.15,1.03906,1024.15,0.0239,0.19179,0.1424
29.59,0.03095,0.024,895.95,0.93724,955.95,0.0257,0.2362,0.3912
56.59,0.06799,0.023,852.33,1.02403,832.33,0.0155,0.37687,0.1353
56.53,0.04632,0.029,1160.35,0.95083,1220.35,0.022,0.29789,0.361
4.21,0.00456,0.032,922.49,1.0,922.49,0.0121,0.03035,0.6614
0.03,3e-05,0.028,1047.26,0.92903,1127.26,0.0298,0.02928,0.807
63.07,0.06328,0.034,1076.63,1.08027,996.6300000000001,0.0145,0.02454,0.7788
0.0,0.0,0.03,1082.65,0.93119,1162.65,0.0292,0.03775,0.1758
8.69,0.01046,0.028,810.46,0.97592,830.46,0.0166,0.13976,0.1438
69.35,0.06618,0.025,967.93,0.92366,1047.9299999999998,0.0259,0.2288,1.3509
13.72,0.01551,0.034,884.41,1.0,884.41,0.0201,0.08086,0.2989
29.92,0.02526,0.025,1124.47,0.94934,1184.47,0.0233,0.1344,0.8202
0.0,0.0,0.029,1002.72,0.92611,1082.72,0.0229,0.04002,0.123
79.12,0.07681,0.033,1110.1,1.07766,1030.1,0.0287,0.08677,0.1484
127.12,0.11829,0.025,1174.65,1.09305,1074.65,0.0104,0.17528,1.0973
0.0,0.0,0.029,1022.74,0.92745,1102.74,0.0213,0.07159,0.064
0.0,0.0,0.03,833.25,0.9124,913.25,0.0103,0.05165,0.161
97.86,0.08934,0.033,1195.42,1.09129,1095.42,0.0175,0.12421,0.243
0.05,5e-05,0.024,885.83,0.93656,945.83,0.0127,0.08347,0.1035
30.97,0.03515,0.034,901.06,1.0227,881.06,0.0245,0.07039,1.1091
4.33,0.00438,0.022,889.51,0.89894,989.51,0.0239,0.16057,0.2919
0.84,0.00069,0.029,1189.09,0.98346,1209.09,0.0279,0.04277,0.1008
6.69,0.00577,0.028,1059.89,0.91378,1159.89,0.0256,0.14146,0.3581
4.54,0.00517,0.03,858.23,0.97723,878.23,0.0264,0.10348,0.1142
