C,C/K,D,S,S/K,k,r,sigma,t
75.6,0.07591,0.032,955.92,0.95984,995.92,0.0247,0.15833,0.7
2.3,0.00211,0.022,1167.63,1.07355,1087.63,0.0158,0.09245,0.3037
7.15,0.00854,0.027,837.68,1.0,837.68,0.0281,0.04387,0.2486
70.16,0.06052,0.021,1139.25,0.98275,1159.25,0.0265,0.23285,0.3307
30.74,0.0279,0.022,1141.84,1.0363,1101.84,0.027,0.20069,0.2981
137.09,0.12638,0.022,964.73,0.88937,1084.73,0.0234,0.185,0.6865
11.43,0.01131,0.035,1130.83,1.11871,1010.8299999999999,0.025,0.20782,0.3112
0.0,0.0,0.028,1115.99,1.14344,975.99,0.0102,0.0794,0.2124
151.53,0.11897,0.038,1193.65,0.93719,1273.65,0.0282,0.21336,0.989
2.61,0.0031,0.038,900.63,1.07138,840.63,0.0187,0.07346,0.4816
102.24,0.08588,0.023,1110.45,0.9328,1190.45,0.0233,0.1388,0.7541
55.65,0.06724,0.02,827.62,1.0,827.62,0.0251,0.1778,1.0145
0.02,3e-05,0.023,874.1,1.19071,734.1,0.0247,0.1491,0.1562
88.39,0.07741,0.032,1121.78,0.98248,1141.78,0.018,0.22643,0.5322
148.51,0.11606,0.034,1139.59,0.89059,1279.59,0.0226,0.11249,0.5524
44.53,0.05408,0.039,803.42,0.97571,823.42,0.0181,0.13783,0.4325
1.62,0.00159,0.026,1137.88,1.11789,1017.8800000000001,0.0228,0.11075,0.3787
70.21,0.06384,0.024,1099.76,1.0,1099.76,0.0221,0.16805,0.9228
8.11,0.00956,0.031,888.37,1.04715,848.37,0.0284,0.06773,0.9093
99.63,0.10218,0.024,875.04,0.89744,975.04,0.0255,0.05145,0.0963
80.29,0.07071,0.022,1055.45,0.92954,1135.45,0.0168,0.10127,0.0661
38.78,0.05134,0.023,835.37,1.10591,755.37,0.0107,0.21955,0.986
114.31,0.09121,0.038,1173.29,0.93617,1253.29,0.0229,0.13396,0.7993
77.72,0.06708,0.032,1118.62,0.96548,1158.62,0.0179,0.14706,0.5718
61.74,0.06467,0.026,894.68,0.93715,954.68,0.0175,0.04059,0.2668
63.29,0.05298,0.034,1154.66,0.96652,1194.66,0.0233,0.06942,0.9895
60.2,0.05091,0.033,1142.54,0.96617,1182.54,0.0127,0.12888,0.2856
0.0,0.0,0.033,950.0,1.11765,850.0,0.0291,0.08864,0.0665
0.03,3e-05,0.03,1193.36,1.1118,1073.36,0.0237,0.05729,0.403
27.93,0.02951,0.035,966.58,1.02113,946.58,0.0132,0.1449,0.3765
62.59,0.06122,0.029,962.38,0.94131,1022.38,0.0248,0.03683,0.8803
4.67,0.00615,0.023,859.25,1.13171,759.25,0.012,0.1511,0.4421
54.13,0.05994,0.025,883.0,0.97785,903.0,0.0233,0.12426,0.9824
79.21,0.08306,0.023,873.62,0.91611,953.62,0.0277,0.10225,0.162
2.88,0.00302,0.038,1053.31,1.1049,953.31,0.0168,0.09473,0.5045
1.71,0.00195,0.025,975.88,1.11417,875.88,0.0142,0.14152,0.2361
140.64,0.14161,0.026,873.12,0.87917,993.12,0.016,0.1762,0.7985
29.99,0.02951,0.021,996.32,0.98032,1016.32,0.0112,0.0551,0.453
0.0,0.0,0.023,861.44,1.13133,761.44,0.0271,0.04747,0.3856
0.0,0.0,0.035,806.7,1.11009,726.7,0.0194,0.08725,0.132
15.6,0.01785,0.033,894.01,1.02288,874.01,0.0134,0.06369,0.7367
101.71,0.11416,0.029,810.91,0.9102,890.91,0.0238,0.17291,0.7799
21.84,0.02009,0.035,1146.94,1.0552,1086.94,0.011,0.16567,0.3359
130.52,0.10154,0.035,1165.37,0.90664,1285.37,0.0155,0.09879,0.43
29.03,0.03633,0.032,918.96,1.1502,798.96,0.0115,0.21195,0.9228
122.92,0.0961,0.034,1159.02,0.90618,1279.02,0.0136,0.0762,0.1329
2.71,0.00376,0.034,841.3,1.16637,721.3,0.0248,0.19142,0.3005
3.06,0.00425,0.03,859.57,1.19456,719.57,0.017,0.20897,0.3278
142.52,0.10786,0.031,1181.38,0.89405,1321.38,0.0281,0.15445,0.2328
113.12,0.10878,0.037,959.89,0.92307,1039.8899999999999,0.0164,0.16839,0.6938
2.13,0.00253,0.022,860.46,1.0238,840.46,0.0113,0.06904,0.1284
42.72,0.03866,0.036,1105.06,1.0,1105.06,0.017,0.08109,0.8852
72.15,0.06461,0.025,1116.63,1.0,1116.63,0.0133,0.15747,0.9208
18.0,0.01976,0.034,990.92,1.08782,910.92,0.0286,0.17193,0.5254
6.6,0.00654,0.029,1068.85,1.05947,1008.8499999999999,0.0222,0.22638,0.0788
12.02,0.01231,0.027,1076.1,1.10245,976.0999999999999,0.011,0.15703,0.4618
21.1,0.02378,0.025,887.12,1.0,887.12,0.0114,0.11645,0.2302
0.02,3e-05,0.04,838.1,1.16711,718.1,0.0256,0.09347,0.2935
106.94,0.1029,0.035,959.26,0.92302,1039.26,0.0238,0.14773,0.8277
25.61,0.02556,0.034,1081.96,1.07984,1001.96,0.0231,0.19525,0.4685
87.32,0.07577,0.026,1072.49,0.93059,1152.49,0.0291,0.12784,0.4084
60.47,0.05901,0.03,964.74,0.94145,1024.74,0.0298,0.04923,0.8275
42.36,0.04545,0.024,892.0,0.95708,932.0,0.011,0.03814,0.2105
47.11,0.04422,0.034,1085.33,1.01877,1065.33,0.0176,0.11424,1.0168
1.36,0.00168,0.022,949.54,1.17294,809.54,0.0274,0.1294,0.5226
143.31,0.14583,0.027,842.74,0.85754,982.74,0.0201,0.13897,0.4818
155.5,0.1233,0.027,1141.19,0.90485,1261.19,0.0161,0.17815,0.7916
8.51,0.0076,0.023,1199.11,1.07149,1119.11,0.0204,0.07428,0.9978
98.17,0.1104,0.022,809.2,0.91003,889.2,0.021,0.23118,0.3868
11.36,0.01433,0.03,832.53,1.05047,792.53,0.0145,0.10913,0.4924
128.98,0.13402,0.021,842.37,0.87531,962.37,0.0172,0.20273,0.3964
15.82,0.01793,0.022,962.22,1.09068,882.22,0.0103,0.13591,0.732
40.48,0.04226,0.02,937.9,0.97912,957.9,0.0146,0.15804,0.2326
92.58,0.08197,0.037,1069.41,0.94687,1129.41,0.0286,0.13286,0.8796
143.59,0.13815,0.026,899.37,0.8653,1039.37,0.0226,0.12003,0.7717
129.33,0.12607,0.031,905.87,0.88303,1025.87,0.0202,0.08447,1.0326
41.0,0.03903,0.024,1030.43,0.98096,1050.43,0.0216,0.07235,0.9567
104.85,0.09542,0.034,1018.83,0.9272,1098.83,0.0249,0.19959,0.4125
150.66,0.12418,0.031,1073.24,0.88461,1213.24,0.0254,0.21319,0.3044
142.71,0.136,0.028,909.31,0.86658,1049.31,0.0169,0.13617,0.2814
135.68,0.10466,0.023,1176.43,0.90744,1296.43,0.0254,0.1791,0.466
9.25,0.01024,0.037,1023.29,1.13285,903.29,0.0269,0.20238,0.3498
42.59,0.03762,0.034,1172.01,1.03534,1132.01,0.0224,0.12138,1.0119
17.77,0.01649,0.033,1137.69,1.05567,1077.69,0.0209,0.13514,0.433
7.03,0.00777,0.034,944.55,1.04422,904.55,0.0211,0.18487,0.095
16.02,0.01627,0.031,1084.44,1.10158,984.44,0.0276,0.15334,0.6504
54.11,0.04446,0.035,1177.14,0.96714,1217.14,0.0177,0.09289,0.3102
104.96,0.0984,0.023,986.67,0.925,1066.67,0.0169,0.13089,0.9877
87.45,0.09264,0.023,903.96,0.95763,943.96,0.0144,0.21092,0.6655
40.19,0.04143,0.039,990.01,1.02062,970.01,0.0229,0.1776,0.4565
57.28,0.06421,0.032,952.07,1.06726,892.07,0.0131,0.22304,0.9201
60.83,0.05987,0.029,955.96,0.94094,1015.96,0.0263,0.08138,0.1952
34.14,0.03914,0.022,872.23,1.0,872.23,0.0152,0.12184,0.5963
18.08,0.02046,0.033,883.52,1.0,883.52,0.0223,0.07388,0.3941
13.41,0.01678,0.033,819.32,1.02502,799.32,0.0143,0.11348,0.3062
171.92,0.14717,0.039,1028.15,0.88015,1168.15,0.0223,0.22014,0.6371
103.82,0.09259,0.02,1021.28,0.91082,1121.28,0.0132,0.10338,0.3644
0.18,0.00016,0.039,1186.15,1.07232,1106.15,0.0113,0.09945,0.0951
3.5,0.00335,0.02,1143.3,1.09585,1043.3,0.0123,0.13039,0.2822
28.22,0.02795,0.032,989.64,0.98019,1009.64,0.0224,0.04493,0.4915
11.59,0.01225,0.023,1086.27,1.14795,946.27,0.0104,0.15592,0.7206
4.03,0.00389,0.04,1135.85,1.09654,1035.85,0.0135,0.07715,0.6764
84.28,0.08832,0.031,874.22,0.91616,954.22,0.011,0.11048,0.2172
1.74,0.0016,0.031,1169.47,1.07343,1089.47,0.0259,0.07526,0.3977
124.51,0.12198,0.023,900.76,0.88244,1020.76,0.0108,0.186,0.2125
1.68,0.00197,0.033,874.04,1.02342,854.04,0.0237,0.05959,0.141
141.5,0.13258,0.038,947.31,0.88757,1067.31,0.0158,0.16017,0.6333
11.26,0.0115,0.031,1038.76,1.0613,978.76,0.0283,0.12835,0.4028
147.08,0.12469,0.037,1039.52,0.88131,1179.52,0.0255,0.11545,0.5577
46.93,0.04664,0.025,986.16,0.98012,1006.16,0.0153,0.11987,0.4966
48.82,0.05805,0.031,821.0,0.97622,841.0,0.0183,0.1911,0.3284
0.58,0.00056,0.028,1150.62,1.11643,1030.62,0.0248,0.06297,0.7711
121.38,0.11176,0.036,966.1,0.88951,1086.1,0.0287,0.09777,0.3097
0.05,5e-05,0.021,1029.18,1.13199,909.1800000000001,0.0103,0.19097,0.0573
11.38,0.01358,0.026,898.18,1.07158,838.18,0.0101,0.08636,0.9549
88.31,0.08655,0.033,1040.32,1.0196,1020.3199999999999,0.0118,0.22571,0.9428
21.07,0.02464,0.021,955.21,1.11693,855.21,0.0154,0.17322,0.8314
43.65,0.04857,0.034,978.7,1.08902,898.7,0.0229,0.23153,0.7562
0.01,1e-05,0.035,976.07,1.11415,876.07,0.022,0.14416,0.0566
61.87,0.07001,0.033,823.73,0.93211,883.73,0.0102,0.10088,0.0977
68.01,0.07823,0.027,829.33,0.95399,869.33,0.0141,0.15727,0.6056
75.79,0.09021,0.036,820.19,0.9762,840.19,0.0123,0.19546,0.7959
155.52,0.11837,0.031,1173.9,0.89345,1313.9,0.0196,0.17918,0.4095
160.52,0.15859,0.037,872.2,0.86169,1012.2,0.0105,0.11534,0.8617
0.44,0.00056,0.029,932.2,1.17672,792.2,0.0277,0.12674,0.3743
92.37,0.08197,0.04,1046.82,0.929,1126.82,0.0227,0.07558,0.6314
122.46,0.11817,0.021,916.3,0.8842,1036.3,0.0111,0.11103,0.2776
65.18,0.07506,0.038,908.34,1.04606,868.34,0.0266,0.22568,1.0382
35.44,0.03059,0.024,1138.38,0.98273,1158.38,0.0241,0.11416,0.2168
129.04,0.11485,0.024,1023.51,0.91099,1123.51,0.0221,0.21839,0.5394
50.7,0.04769,0.024,1063.11,1.0,1063.11,0.0166,0.1794,0.423
100.16,0.0952,0.028,992.05,0.94297,1052.05,0.0254,0.18129,0.8171
80.88,0.07017,0.026,1072.65,0.93059,1152.65,0.0259,0.06161,0.7412
123.42,0.09685,0.021,1154.32,0.90583,1274.32,0.0277,0.1239,0.6158
59.81,0.05022,0.022,1131.03,0.94962,1191.03,0.024,0.06632,0.0509
6.05,0.00599,0.03,1070.14,1.0594,1010.1400000000001,0.0162,0.09715,0.3629
13.09,0.01747,0.032,829.46,1.10674,749.46,0.0297,0.16161,0.6622
11.91,0.01595,0.028,846.73,1.13392,746.73,0.0206,0.17751,0.6294
1.76,0.0022,0.037,858.58,1.07513,798.58,0.0196,0.05299,0.7574
86.06,0.08069,0.024,1006.56,0.94374,1066.56,0.0149,0.22276,0.2829
3.99,0.00516,0.029,913.68,1.18095,773.68,0.0218,0.19497,0.3799
15.15,0.01775,0.039,873.43,1.02343,853.43,0.0291,0.06786,0.8385
66.42,0.05754,0.031,1154.41,1.0,1154.41,0.0107,0.22917,0.3533
91.72,0.08099,0.022,1072.43,0.94702,1132.43,0.0173,0.20228,0.3974
141.58,0.13139,0.026,937.59,0.87008,1077.5900000000001,0.019,0.06832,0.4073
71.23,0.08108,0.029,818.5,0.9317,878.5,0.0231,0.20579,0.2155
7.86,0.00862,0.039,951.46,1.04389,911.46,0.0282,0.09924,0.3389
75.2,0.06346,0.032,1145.05,0.96625,1185.05,0.0159,0.10432,0.8105
19.06,0.02335,0.03,836.27,1.0245,816.27,0.0165,0.17232,0.2262
113.93,0.11475,0.037,892.89,0.89928,992.89,0.0206,0.13903,0.5778
6.03,0.00647,0.039,1031.92,1.10731,931.9200000000001,0.0118,0.07444,1.0119
9.73,0.01171,0.025,890.63,1.07223,830.63,0.0132,0.10223,0.6827
25.25,0.03081,0.023,859.56,1.04881,819.56,0.0212,0.21563,0.3434
112.67,0.12024,0.036,857.05,0.91463,937.05,0.0196,0.15765,0.9981
82.39,0.07886,0.021,964.81,0.92343,1044.81,0.0118,0.05849,0.2967
8.03,0.011,0.029,809.79,1.10962,729.79,0.0185,0.10506,0.998
51.67,0.04977,0.03,1038.15,1.0,1038.15,0.0117,0.12848,0.7237
43.7,0.04823,0.035,946.05,1.04415,906.05,0.0109,0.18357,0.6814
107.11,0.11261,0.022,851.2,0.89487,951.2,0.0205,0.13562,0.6444
2.37,0.00211,0.025,1182.0,1.05348,1122.0,0.0225,0.11054,0.1392
0.54,0.00062,0.027,1014.76,1.16004,874.76,0.0171,0.08546,0.6822
75.74,0.06883,0.039,1080.35,0.98182,1100.35,0.0242,0.15776,0.7664
5.88,0.0072,0.022,896.17,1.09802,816.17,0.013,0.0979,0.7647
61.83,0.0497,0.025,1184.08,0.95177,1244.08,0.0299,0.06773,0.5826
2.07,0.00235,0.029,920.97,1.0454,880.97,0.0227,0.048,0.5667
17.88,0.0165,0.028,1083.71,1.0,1083.71,0.0275,0.13199,0.0984
143.17,0.13725,0.024,903.1,0.86578,1043.1,0.0145,0.03635,0.49
118.19,0.09622,0.034,1148.34,0.93487,1228.34,0.025,0.19015,0.582
21.63,0.0194,0.029,1155.2,1.03587,1115.2,0.0207,0.13396,0.3773
10.69,0.01157,0.038,943.74,1.02165,923.74,0.0195,0.06095,0.4926
37.92,0.04489,0.038,864.82,1.02367,844.82,0.0276,0.1879,0.5133
74.53,0.0716,0.033,980.96,0.94236,1040.96,0.0176,0.195,0.1942
164.69,0.16295,0.032,870.7,0.86148,1010.7,0.0292,0.22342,0.8781
120.94,0.096,0.023,1139.74,0.90474,1259.74,0.0174,0.17572,0.0852
16.41,0.01715,0.036,1036.82,1.08361,956.8199999999999,0.0102,0.09538,1.0009
7.68,0.00748,0.029,1166.21,1.13642,1026.21,0.0145,0.11052,0.8936
67.0,0.08156,0.026,821.5,1.0,821.5,0.0159,0.21823,0.821
36.21,0.04177,0.032,846.88,0.97693,866.88,0.0233,0.10355,0.4305
1.14,0.00131,0.038,991.6,1.13768,871.6,0.0295,0.10139,0.5096
14.45,0.01563,0.025,924.63,1.0,924.63,0.0298,0.15057,0.0694
5.34,0.00563,0.023,968.63,1.02108,948.63,0.0294,0.05966,0.3622
28.1,0.03422,0.021,901.13,1.09743,821.13,0.0181,0.19839,0.7678
17.82,0.02039,0.032,913.86,1.04577,873.86,0.0247,0.1784,0.2802
1.55,0.00171,0.03,988.46,1.08806,908.46,0.0168,0.13603,0.164
5.27,0.00521,0.03,1111.37,1.09888,1011.3699999999999,0.0246,0.18269,0.196
2.24,0.00305,0.032,814.95,1.10885,734.95,0.0231,0.07427,0.915
87.28,0.071,0.037,1149.28,0.93492,1229.28,0.024,0.07356,0.4374
164.01,0.13171,0.038,1105.24,0.88757,1245.24,0.0118,0.09071,0.8339
104.97,0.10097,0.021,959.62,0.92305,1039.62,0.0157,0.14641,0.8633
103.39,0.10346,0.022,919.32,0.91995,999.32,0.0231,0.21607,0.4591
59.46,0.05675,0.031,1127.74,1.07635,1047.74,0.0117,0.2145,0.8946
152.14,0.14346,0.031,960.47,0.9057,1060.47,0.0185,0.21566,1.0363
103.92,0.11484,0.028,804.93,0.88949,904.93,0.029,0.11238,1.0385
0.54,0.00072,0.023,885.45,1.18781,745.45,0.0173,0.1606,0.2747
16.1,0.01861,0.029,865.0,1.0,865.0,0.0118,0.14792,0.0915
80.63,0.0814,0.035,930.56,0.93943,990.56,0.0183,0.11248,0.6945
28.76,0.03599,0.035,879.18,1.1001,799.18,0.0106,0.18663,0.7906
0.65,0.00071,0.03,1020.31,1.10866,920.31,0.0104,0.09751,0.2928
139.52,0.14195,0.025,842.91,0.85757,982.91,0.0282,0.0764,0.0728
119.81,0.0949,0.037,1162.45,0.92079,1262.45,0.0103,0.04859,0.6681
51.08,0.05,0.02,1001.68,0.98042,1021.68,0.0238,0.13044,0.6522
154.8,0.1566,0.03,848.5,0.85837,988.5,0.0117,0.08631,1.0352
86.29,0.07103,0.025,1134.8,0.93415,1214.8,0.0121,0.0522,0.446
39.8,0.04778,0.029,852.91,1.02401,832.91,0.0126,0.19107,0.5213
79.66,0.07187,0.022,1028.4,0.92782,1108.4,0.0227,0.07127,0.1458
110.6,0.09556,0.027,1097.37,0.94816,1157.37,0.0219,0.18163,0.8702
116.61,0.09828,0.023,1066.49,0.89886,1186.49,0.0253,0.05217,0.6401
58.82,0.05326,0.022,1104.33,1.0,1104.33,0.0154,0.20846,0.3967
4.19,0.00504,0.038,891.45,1.07216,831.45,0.0181,0.08512,0.4912
7.03,0.00884,0.036,914.85,1.15097,794.85,0.0123,0.20608,0.343
54.1,0.05419,0.025,1098.27,1.10017,998.27,0.0122,0.22962,0.9289
101.15,0.07965,0.03,1189.86,0.937,1269.86,0.0217,0.11031,0.7494
0.33,0.00032,0.038,1147.51,1.11679,1027.51,0.0157,0.1173,0.1822
40.64,0.04847,0.025,858.42,1.02385,838.42,0.021,0.22537,0.4265
0.05,7e-05,0.036,866.51,1.13046,766.51,0.0147,0.04497,0.8144
0.0,0.0,0.027,915.9,1.12256,815.9,0.0114,0.03992,0.2138
48.98,0.04504,0.032,1147.4,1.05518,1087.4,0.0272,0.20261,0.6877
135.45,0.11427,0.031,1105.39,0.93251,1185.39,0.0124,0.17649,0.9436
146.35,0.13363,0.026,955.15,0.87216,1095.15,0.012,0.06167,0.5488
0.15,0.00018,0.028,990.88,1.16454,850.88,0.0231,0.09848,0.4001
0.89,0.00084,0.024,1094.46,1.03793,1054.46,0.0244,0.03655,0.496
78.59,0.06996,0.033,1103.3,0.9822,1123.3,0.02,0.17207,0.6997
24.52,0.02355,0.025,1101.21,1.05763,1041.21,0.018,0.19369,0.3378
19.33,0.02219,0.036,950.96,1.09185,870.96,0.0221,0.17739,0.5447
0.5,0.00059,0.034,907.22,1.07082,847.22,0.0202,0.15547,0.0598
0.0,0.0,0.029,1091.16,1.14719,951.1600000000001,0.0294,0.08673,0.1226
41.43,0.04055,0.04,1101.6,1.07831,1021.5999999999999,0.0184,0.20328,0.6619
0.0,0.0,0.039,812.74,1.2081,672.74,0.01,0.12416,0.0848
80.05,0.07098,0.036,1087.84,0.96453,1127.84,0.0228,0.13736,0.7481
22.69,0.02231,0.036,1137.23,1.11797,1017.23,0.0182,0.18934,0.6018
149.56,0.12094,0.036,1096.66,0.88679,1236.66,0.016,0.11381,0.4194
122.5,0.09782,0.039,1132.33,0.90418,1252.33,0.0225,0.11268,0.148
14.79,0.01401,0.034,1095.72,1.03789,1055.72,0.0228,0.06421,0.9644
18.22,0.01714,0.02,1082.96,1.01882,1062.96,0.0201,0.07496,0.7273
4.83,0.00446,0.04,1161.81,1.07395,1081.81,0.0229,0.22908,0.0767
61.64,0.06135,0.026,944.74,0.94028,1004.74,0.0107,0.05118,0.1189
0.05,6e-05,0.025,934.89,1.14726,814.89,0.0124,0.13854,0.1319
20.96,0.02008,0.029,1123.88,1.07664,1043.88,0.0159,0.22996,0.2565
38.3,0.04174,0.023,1017.56,1.10898,917.56,0.012,0.22054,0.8007
17.36,0.02317,0.029,829.23,1.10678,749.23,0.0119,0.15889,0.7738
13.72,0.0126,0.037,1129.1,1.03673,1089.1,0.0262,0.13552,0.2289
89.66,0.07484,0.038,1118.04,0.93322,1198.04,0.0231,0.08329,0.4719
1.19,0.00161,0.037,876.99,1.18996,736.99,0.0195,0.10644,0.7511
33.78,0.0286,0.02,1181.23,1.0,1181.23,0.0235,0.08605,0.7873
49.93,0.0509,0.026,940.98,0.95922,980.98,0.0125,0.18695,0.1103
43.36,0.0404,0.037,1113.27,1.03727,1073.27,0.0203,0.20529,0.4288
18.34,0.01831,0.032,1121.57,1.11981,1001.5699999999999,0.0148,0.15813,0.7216
81.56,0.06894,0.031,1103.07,0.93238,1183.07,0.0203,0.09359,0.1303
5.17,0.00593,0.03,911.74,1.04589,871.74,0.0269,0.09383,0.3104
126.01,0.11261,0.032,998.97,0.89276,1118.97,0.0247,0.08571,0.8646
61.01,0.05817,0.026,1028.84,0.98093,1048.84,0.0124,0.17989,0.4065
8.85,0.00961,0.024,1000.79,1.08688,920.79,0.0107,0.17506,0.2645
8.18,0.01149,0.027,811.81,1.14049,711.81,0.0273,0.18831,0.4871
153.43,0.13809,0.032,971.12,0.874,1111.12,0.0131,0.10771,0.7056
69.3,0.06173,0.031,1122.66,1.0,1122.66,0.0298,0.15686,1.0175
135.49,0.11141,0.025,1136.13,0.93422,1216.13,0.0239,0.22355,0.7715
57.52,0.05019,0.037,1106.02,0.9651,1146.02,0.0175,0.21344,0.1121
8.06,0.0098,0.023,922.06,1.12165,822.06,0.0165,0.1089,1.0204
72.46,0.0728,0.035,1015.35,1.02009,995.35,0.011,0.21693,0.7406
0.0,0.0,0.029,1129.71,1.09711,1029.71,0.024,0.06747,0.1713
8.81,0.01241,0.034,849.68,1.19727,709.68,0.0231,0.19962,0.6491
142.65,0.11634,0.039,1086.12,0.88582,1226.12,0.022,0.19615,0.1133
114.82,0.09131,0.029,1197.45,0.95228,1257.45,0.0123,0.21178,0.53
13.09,0.01448,0.039,963.74,1.06639,903.74,0.0107,0.07193,1.0075
4.01,0.00554,0.035,863.92,1.19339,723.92,0.0164,0.1302,0.8645
128.48,0.11632,0.024,1024.58,0.92757,1104.58,0.0152,0.21313,0.7707
60.31,0.05648,0.036,1087.88,1.01873,1067.88,0.0199,0.23204,0.4516
4.2,0.00429,0.029,1098.81,1.1226,978.81,0.0292,0.09154,0.9617
0.0,0.0,0.021,955.57,1.14361,835.57,0.0117,0.05612,0.4794
